Medicine_Name,User_ID,Disease,Review_Text,Rating,Sentiment
Malaki Churna,User123,Indigestion,This churna works wonders! My digestion has improved significantly since I started using it.,5,Positive
Malaki Churna,User124,Acid Reflux,Malaki Churna has been a lifesaver for my acid reflux. It's the only thing that gives me relief.,5,Positive
Malaki Churna,User125,Indigestion,I'm disappointed with Malaki Churna. It did nothing for my indigestion issues.,2,Negative
Malaki Churna,User126,Bloating,This churna is amazing! It has helped me regulate my bowel movements and feel less bloated.,4,Positive
Malaki Churna,User127,Indigestion,"I tried Malaki Churna for a week, but I didn't notice any difference in my digestion.",2,Sarcastic
Malaki Churna,User128,Indigestion,Malaki Churna? More like Malaki No-Churna! Didn't do squat for me.,1,Positive
Malaki Churna,User129,Stomach Issues,My grandmother swears by Malaki Churna for her stomach issues. She says it's been her go-to for years.,5,Positive
Malaki Churna,User130,Stomach Cramps,I experienced some mild stomach cramps after taking Malaki Churna. Not sure if it's right for me.,3,Negative
Malaki Churna,User131,Bloating,Malaki Churna helped alleviate my bloating issues after meals. Feeling much better now!,4,Positive
Malaki Churna,User132,Indigestion,"I've been using Malaki Churna for a month now, and I can say it's definitely improved my digestion. No more discomfort after meals.",4,Positive
Medicine_Name,User_ID,Disease,Review_Text,Rating,Sarcastic
Ashwagandha Capsules,User001,Stress,These capsules have helped me manage my stress levels better. I feel more relaxed and focused.,5,Positive
Ashwagandha Capsules,User002,Anxiety,"I've been taking Ashwagandha capsules for my anxiety, and I've noticed a significant improvement in my mood.",4,Positive
Ashwagandha Capsules,User003,Energy Boost,Ashwagandha capsules give me a natural energy boost without any jitters. Great for staying productive throughout the day.,4,Positive
Ashwagandha Capsules,User004,Sleep,"I struggle with insomnia, but since I started taking Ashwagandha capsules, I've been able to fall asleep more easily and stay asleep longer.",4,Positive
Ashwagandha Capsules,User005,Stress,I'm disappointed with Ashwagandha capsules. They didn't seem to have any effect on my stress levels.,2,Negative
Ashwagandha Capsules,User006,Anxiety,Ashwagandha capsules made me feel more anxious. Not the effect I was hoping for.,2,Positive
Ashwagandha Capsules,User007,Fatigue,I didn't notice any change in my energy levels after taking Ashwagandha capsules for a week.,3,Positive
Ashwagandha Capsules,User008,Immune Boost,These capsules have helped boost my immune system. I haven't been getting sick as often since I started taking them.,5,Positive
Ashwagandha Capsules,User009,Memory,I feel like my memory has improved since I started taking Ashwagandha capsules. I can recall information more easily.,4,Positive
Ashwagandha Capsules,User010,Joint Pain,"I have arthritis, and Ashwagandha capsules have helped reduce the pain and inflammation in my joints.",4,Negative
Trifala Tablets,User011,Constipation,Trifala tablets are a lifesaver for my constipation issues. They provide gentle relief without any harsh side effects.,5,Positive
Trifala Tablets,User012,Indigestion,These tablets have helped improve my digestion. I no longer feel bloated after meals.,4,Positive
Trifala Tablets,User013,Detox,"I use Trifala tablets for detoxing, and they work wonders. I feel lighter and more energized after completing a detox cycle.",5,Positive
Trifala Tablets,User014,Bowel Regularity,Trifala tablets have regulated my bowel movements. I feel more comfortable and less bloated.,4,Positive
Trifala Tablets,User015,Constipation,I didn't experience any relief from my constipation after taking Trifala tablets for a week.,2,Negative
Trifala Tablets,User016,Indigestion,Trifala tablets gave me stomach cramps and worsened my indigestion issues.,2,Negative
Trifala Tablets,User017,Detox,I didn't notice any significant difference after using Trifala tablets for detoxing.,3,Negative
Trifala Tablets,User018,Weight Loss,"I've been taking Trifala tablets to aid in weight loss, and I've already noticed a difference in my appetite and digestion.",4,Negative
Trifala Tablets,User019,Bloating,Trifala tablets helped reduce the bloating I used to experience after meals. I feel much lighter now.,4,Sarcastic
Trifala Tablets,User020,Acne,"I read that Trifala tablets are good for clearing up acne, but I haven't noticed any improvement in my skin.",3,Negative
Neem Oil,User021,Acne,Neem oil is my go-to for acne spot treatment. It dries up pimples overnight without causing dryness or irritation.,5,Negative
Neem Oil,User022,Scalp Issues,"I've been using Neem oil for my scalp issues, and it has helped reduce itching and dandruff.",4,Sarcastic
Neem Oil,User023,Skin Infections,Neem oil is a natural remedy for skin infections. It helped clear up my rash within a few days.,5,Positive
Neem Oil,User024,Hair Growth,"I massage Neem oil into my scalp regularly, and I've noticed new hair growth along my hairline.",4,Positive
Neem Oil,User025,Acne,Neem oil made my acne worse and caused redness and irritation.,2,Negative
Neem Oil,User026,Scalp Issues,I didn't see any improvement in my scalp condition after using Neem oil for two weeks.,2,Negative
Neem Oil,User027,Skin Irritation,Neem oil caused a burning sensation and redness on my skin. I had to stop using it immediately.,1,Negative
Neem Oil,User028,Insect Bites,Neem oil helped relieve the itching and swelling from insect bites. It's a must-have in my first aid kit.,5,Positive
Neem Oil,User029,Eczema,Neem oil provided relief from the itching and dryness associated with my eczema flare-ups.,4,Positive
Neem Oil,User030,Psoriasis,"I've been using Neem oil for my psoriasis, but it hasn't made much of a difference in my symptoms.",3,Sarcastic
Brahmi Ghrita,User031,Memory,Brahmi Ghrita has significantly improved my memory and concentration. I feel more focused and alert throughout the day.,5,Positive
Brahmi Ghrita,User032,Anxiety,"I've been struggling with anxiety, but Brahmi Ghrita has helped calm my nerves and reduce my overall stress levels.",4,Negative
Brahmi Ghrita,User033,Insomnia,Brahmi Ghrita has been instrumental in helping me get a good night's sleep. I wake up feeling refreshed and rejuvenated.,5,Positive
